CSC,minH (sim),H (sim),mean R (sim),std R (sim),minH (norm),H (norm),mean R (norm),std R (norm)
16.0,0.05572624519338889,0.23253283736478722,16.00183,0.1946449359731714,-0.0,4.277556163454143e-26,16.000000000000018,0.045794672179195764
17.0,0.06220365931344831,0.2522897415439644,17.00348,0.20539690747428502,-0.0,7.933896126018104e-22,17.000000000000004,0.05015432184767332
18.0,0.06485711413490225,0.260162940158846,18.00246,0.20965196970217093,-0.0,1.8465050981208248e-18,17.999999999999996,0.05464415796770958
19.0,0.07425877102664036,0.28711866638064387,19.00331,0.2239621483644055,-0.0,9.054614312816679e-16,19.00000000000002,0.0592605096164386
20.0,0.07906649108802649,0.30037758471563314,20.00251,0.23091924973895092,8.008566259537317e-15,2.721585112653668e-13,19.99999999999998,0.0639999999999999
21.0,0.08633887874011578,0.31981580312163654,21.00315,0.2409980860919854,5.53552099859324e-13,1.6380767556080002e-11,21.00000000000003,0.06885950914724864
22.0,0.09146374739453318,0.33309552309371665,22.00309,0.2478314990068857,1.8355954209626637e-11,4.788605185037378e-10,22.000000000000025,0.07383614291117879
23.0,0.09787238095067106,0.3492465763266027,23.00381,0.2560771053803912,3.4251965176541194e-10,7.933167302955575e-09,23.00000000000001,0.07892720696946022
24.0,0.10654458987515657,0.3703488878088046,24.00459,0.26677505861680545,4.033227695581554e-09,8.346850221764149e-08,23.999999999999975,0.08413018483279339
25.0,0.11071337743687674,0.3802025307531769,25.00437,0.2717552264446813,3.2727174570694465e-08,6.087769207139289e-07,25.000000000000025,0.08944271909999173
26.0,0.11711440264152712,0.39498565486489945,26.00271,0.2792179362075438,1.959817773960176e-07,3.2947978095435247e-06,25.999999999999957,0.09486259536824806
27.0,0.12519516666516747,0.41307840812542845,27.00376,0.2882808741488065,9.140697520134256e-07,1.3959551714521778e-05,26.99999999999996,0.10038772833369604
28.0,0.13279935947195745,0.4295561694362866,28.00462,0.2965108018268474,3.465593942163165e-06,4.830733921078378e-05,27.999999999999986,0.10601614971314505
29.0,0.13840982084269543,0.4413906663338254,29.00476,0.3024191501872856,1.1053146488971863e-05,0.0001412510260261491,28.999999999999957,0.11174599769119227
30.0,0.14787328423026788,0.460763422967173,30.00504,0.3120810766451564,3.0486731089482003e-05,0.00035866442924383754,29.999999999999968,0.11757550765359237
31.0,0.1563537619779708,0.47752769384042626,31.00257,0.3204737042254793,7.437334101927403e-05,0.0008086349839533899,30.999999999999996,0.12350300401204821
32.0,0.1627187336973791,0.48975857275587886,32.00414,0.3265621845835798,0.00016345683689675345,0.0016484463773740556,32.000000000000036,0.12952689296049702
33.0,0.1713521718376831,0.5058893727379865,33.00415,0.3346233367534308,0.0003285963068282531,0.0030842458643798474,32.999999999999936,0.1356456560307034
34.0,0.17943296651554486,0.5205297185539436,34.00493,0.3419439940984489,0.0006118817892851852,0.005362303043061203,33.99999999999993,0.1418578443372092
35.0,0.1880686957646865,0.5357086987317232,35.00492,0.3495651492926605,0.0010665575883145987,0.008753022711567842,34.999999999999915,0.14816207341961654
36.0,0.19599601903367897,0.5492363206930517,36.00337,0.3563967495643023,0.0017556815985797973,0.013530547933990975,36.00000000000008,0.15455701860478596
37.0,0.20371789597543014,0.5620548670114871,37.00485,0.36285875695647746,0.0027497006855115797,0.019951441696849592,37.00000000000002,0.1610414108234278
38.0,0.2130691389097145,0.5771238413863532,38.00606,0.37049058881434493,0.004123297312216957,0.028235618405266897,38.00000000000004,0.16761403282541737
39.0,0.22340747385053242,0.5932290031866528,39.00526,0.37872461287854,0.00595193341740327,0.038551759503304965,39.00000000000001,0.17427371574623643
40.0,0.23502546752498424,0.6106655140847894,40.00869,0.38762673269525666,0.008308493730723295,0.05100830357258279,39.99999999999996,0.18101933598375589
41.0,0.24115106455032279,0.6195883696103778,41.00535,0.3923026605823621,0.011260343380649143,0.06565007021402719,41.000000000000014,0.18784981235018583
42.0,0.2492734542116741,0.6311423229781857,42.00602,0.3983010916379718,0.014866999670753918,0.08245983109305001,42.00000000000006,0.19476410346878645
43.0,0.2610160452994883,0.6473064230874038,43.00822,0.4067338584381684,0.019178504718108155,0.10136372204787354,43.00000000000003,0.2017612053889451
44.0,0.2684170308460465,0.6571783655900287,44.00569,0.4119922619418962,0.024234492702736424,0.12223925413725358,44.00000000000005,0.20884014939661422
45.0,0.27979159146200616,0.6718933172346288,45.00411,0.4198489108000639,0.03006388051493027,0.14492474860120597,45.00000000000004,0.2160000000000003
